,owid__Unnamed: 0,owid__iso_code,owid__continent,owid__location,owid__date,owid__total_cases,owid__new_cases,owid__new_cases_smoothed,owid__total_deaths,owid__new_deaths,owid__new_deaths_smoothed,owid__total_cases_per_million,owid__new_cases_per_million,owid__new_cases_smoothed_per_million,owid__total_deaths_per_million,owid__new_deaths_per_million,owid__new_deaths_smoothed_per_million,owid__reproduction_rate,owid__icu_patients,owid__icu_patients_per_million,owid__hosp_patients,owid__hosp_patients_per_million,owid__weekly_icu_admissions,owid__weekly_icu_admissions_per_million,owid__weekly_hosp_admissions,owid__weekly_hosp_admissions_per_million,owid__new_tests,owid__total_tests,owid__total_tests_per_thousand,owid__new_tests_per_thousand,owid__new_tests_smoothed,owid__new_tests_smoothed_per_thousand,owid__positive_rate,owid__tests_per_case,owid__tests_units,owid__total_vaccinations,owid__people_vaccinated,owid__people_fully_vaccinated,owid__total_boosters,owid__new_vaccinations,owid__new_vaccinations_smoothed,owid__total_vaccinations_per_hundred,owid__people_vaccinated_per_hundred,owid__people_fully_vaccinated_per_hundred,owid__total_boosters_per_hundred,owid__new_vaccinations_smoothed_per_million,owid__stringency_index,owid__population,owid__population_density,owid__median_age,owid__aged_65_older,owid__aged_70_older,owid__gdp_per_capita,owid__extreme_poverty,owid__cardiovasc_death_rate,owid__diabetes_prevalence,owid__female_smokers,owid__male_smokers,owid__handwashing_facilities,owid__hospital_beds_per_thousand,owid__life_expectancy,owid__human_development_index,owid__excess_mortality_cumulative_absolute,owid__excess_mortality_cumulative,owid__excess_mortality,owid__excess_mortality_cumulative_per_million,who__Unnamed: 0,who__Date_reported,who__Country_code,who__Country,who__WHO_region,who__New_cases,who__Cumulative_cases,who__New_deaths,who__Cumulative_deaths,date,country,max_new_deaths,max_new_cases,max_new_deaths_ma7,max_new_deaths_ma14
41746,41746.0,DEU,Europe,germany,2021-05-10,3538208.0,7321.0,14288.857,85118.0,274.0,216.143,42171.492,87.258,170.307,1014.512,3.266,2.576,0.78,4571.0,54.481,,,,,,,,,,,176792.0,2.107,,,tests performed,36000338.0,27913943.0,8119196.0,100.0,590501.0,740223.0,42.91,33.27,9.68,0.0,8823.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50003.0,2021-05-10,DE,germany,EURO,6922.0,3527251.0,54.0,84829.0,2021-05-10,germany,274.0,7321.0,246.2,264.35714285714283
41747,41747.0,DEU,Europe,germany,2021-05-11,3557904.0,19696.0,13658.143,85385.0,267.0,213.571,42406.246,234.754,162.79,1017.694,3.182,2.546,0.77,4449.0,53.027,,,,,,,,,,,173606.0,2.069,,,tests performed,37087616.0,28716586.0,8407606.0,101.0,1087278.0,774979.0,44.2,34.23,10.02,0.0,9237.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50004.0,2021-05-11,DE,germany,EURO,6125.0,3533376.0,283.0,85112.0,2021-05-11,germany,283.0,19696.0,251.3,260.0
41748,41748.0,DEU,Europe,germany,2021-05-12,3564494.0,6590.0,11391.286,85451.0,66.0,187.143,42484.791,78.545,135.771,1018.481,0.787,2.231,0.75,4361.0,51.978,,,,,,,,,,,170419.0,2.031,,,tests performed,38505487.0,29772885.0,8775010.0,103.0,1417871.0,813434.0,45.89,35.49,10.46,0.0,9695.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50005.0,2021-05-12,DE,germany,EURO,14909.0,3548285.0,268.0,85380.0,2021-05-12,germany,268.0,14909.0,267.1,256.85714285714283
41749,41749.0,DEU,Europe,germany,2021-05-13,3578125.0,13631.0,10779.0,85853.0,402.0,204.0,42647.258,162.466,128.474,1023.272,4.791,2.431,0.74,4244.0,50.584,,,,,,,,,,,167232.0,1.993,,,tests performed,38935130.0,30044204.0,8935990.0,105.0,429643.0,733016.0,46.41,35.81,10.65,0.0,8737.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50006.0,2021-05-13,DE,germany,EURO,17419.0,3565704.0,278.0,85658.0,2021-05-13,germany,402.0,17419.0,276.0,265.7857142857143
41750,41750.0,DEU,Europe,germany,2021-05-14,3588502.0,10377.0,10105.714,86030.0,177.0,195.857,42770.94,123.682,120.449,1025.382,2.11,2.334,0.74,4172.0,49.726,,,,,,,,,,,164046.0,1.955,,,tests performed,39692682.0,30578965.0,9166625.0,106.0,757552.0,713688.0,47.31,36.45,10.93,0.0,8506.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50007.0,2021-05-14,DE,germany,EURO,11336.0,3577040.0,190.0,85848.0,2021-05-14,germany,190.0,11336.0,263.5,257.5
41751,41751.0,DEU,Europe,germany,2021-05-15,3595872.0,7370.0,9283.571,86100.0,70.0,187.286,42858.782,87.842,110.65,1026.216,0.834,2.232,0.74,4084.0,48.677,,,,,,,,,,,160859.0,1.917,,,tests performed,40093505.0,30818354.0,9332340.0,108.0,400823.0,710028.0,47.79,36.73,11.12,0.0,8463.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50008.0,2021-05-15,DE,germany,EURO,7894.0,3584934.0,177.0,86025.0,2021-05-15,germany,177.0,7894.0,252.7,253.57142857142858
41752,41752.0,DEU,Europe,germany,2021-05-16,3602939.0,7067.0,10293.143,86166.0,66.0,188.857,42943.013,84.231,122.683,1027.003,0.787,2.251,0.74,4054.0,48.319,,,,,3262.533,38.886,,59195368.0,705.543,,157673.0,1.879,0.082,12.2,tests performed,40376026.0,30983880.0,9454064.0,108.0,282521.0,709456.0,48.12,36.93,11.27,0.0,8456.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,37753.4,2.8,4.76,449.978403577734,50009.0,2021-05-16,DE,germany,EURO,8500.0,3593434.0,71.0,86096.0,2021-05-16,germany,71.0,8500.0,231.4,250.78571428571428
41753,41753.0,DEU,Europe,germany,2021-05-17,3608320.0,5381.0,10016.0,86386.0,220.0,181.143,43007.148,64.136,119.38,1029.625,2.622,2.159,0.73,4002.0,47.699,,,,,,,,,,,160068.0,1.908,,,tests performed,40932379.0,31343861.0,9660329.0,112.0,556353.0,704577.0,48.79,37.36,11.51,0.0,8398.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50010.0,2021-05-17,DE,germany,EURO,5412.0,3598846.0,64.0,86160.0,2021-05-17,germany,220.0,5412.0,225.0,244.14285714285714
41754,41754.0,DEU,Europe,germany,2021-05-18,3615896.0,7576.0,8284.571,86671.0,285.0,183.714,43097.446,90.297,98.743,1033.022,3.397,2.19,0.72,3864.0,46.055,,,,,,,,,,,162464.0,1.936,,,tests performed,41805326.0,31869858.0,10015135.0,115.0,872947.0,673959.0,49.83,37.99,11.94,0.0,8033.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50011.0,2021-05-18,DE,germany,EURO,4209.0,3603055.0,221.0,86381.0,2021-05-18,germany,285.0,7576.0,229.7,242.0
41755,41755.0,DEU,Europe,germany,2021-05-19,3627777.0,11881.0,9040.429,86908.0,237.0,208.143,43239.054,141.608,107.752,1035.846,2.825,2.481,0.72,3693.0,44.016,,,,,,,,,,,164860.0,1.965,,,tests performed,42904106.0,32446374.0,10549686.0,118.0,1098780.0,628374.0,51.14,38.67,12.57,0.0,7490.0,75.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,50012.0,2021-05-19,DE,germany,EURO,11040.0,3614095.0,284.0,86665.0,2021-05-19,germany,284.0,11881.0,245.4,241.92857142857142
