,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
111,Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-09-11,3664650.0,2656850.0,50.369,36.517,1857709.0,25.534,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,7.0
112,Latvia,LVA,EURO,OWID,2021-09-22,1596437.0,894490.0,83.685,46.889,816629.0,42.808,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
113,Lebanon,LBN,EMRO,REPORTING,2021-09-20,2929966.0,1608545.0,42.927,23.567,1321421.0,19.36,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-14,4.0
114,Lesotho,LSO,AFRO,REPORTING,2021-09-20,332954.0,249173.0,15.542,11.631,238727.0,11.144,SII - Covishield,2021-03-10,1.0
115,Liberia,LBR,AFRO,REPORTING,2021-09-27,284246.0,86288.0,5.62,1.706,188823.0,3.733,SII - Covishield,2021-04-01,1.0
116,Libya,LBY,EMRO,REPORTING,2021-09-25,1546967.0,1359693.0,22.513,19.788,187274.0,2.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,7.0
117,Liechtenstein,LIE,OTHER,OWID,2021-09-23,46380.0,24341.0,119.7,62.82,22563.0,58.232,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
118,Lithuania,LTU,EURO,OWID,2021-09-20,3339375.0,1720488.0,119.516,61.576,1618887.0,57.94,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
119,Luxembourg,LUX,EURO,OWID,2021-09-17,777789.0,414577.0,124.226,66.215,,,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
120,Madagascar,MDG,AFRO,REPORTING,2021-09-27,417648.0,197001.0,1.508,0.711,220647.0,0.797,SII - Covishield,2021-05-10,1.0
121,Malawi,MWI,AFRO,REPORTING,2021-09-26,1087426.0,781143.0,5.684,4.083,489199.0,2.557,SII - Covishield,2021-03-11,1.0
122,Malaysia,MYS,WPRO,REPORTING,2021-09-10,37395688.0,21080152.0,115.54,65.131,16680780.0,51.538,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,5.0
123,Maldives,MDV,SEARO,REPORTING,2021-09-20,723682.0,391153.0,133.88,72.363,332529.0,61.517,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8.0
124,Mali,MLI,AFRO,REPORTING,2021-09-27,405053.0,316293.0,2.0,1.562,231811.0,1.145,SII - Covishield,2021-03-31,1.0
125,Malta,MLT,EURO,OWID,2021-09-25,816727.0,420211.0,158.722,81.664,420088.0,81.64,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
126,Marshall Islands,MHL,WPRO,REPORTING,2021-09-14,38923.0,21704.0,65.755,36.666,19017.0,32.127,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-29,3.0
127,Martinique,MTQ,AMRO,REPORTING,2021-09-24,208760.0,114933.0,55.63,30.627,93827.0,25.003,Pfizer BioNTech - Comirnaty,,1.0
128,Mauritania,MRT,AFRO,REPORTING,2021-09-27,890122.0,320535.0,19.144,6.894,569587.0,12.25,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2.0
129,Mauritius,MUS,AFRO,REPORTING,2021-09-22,1633952.0,845164.0,128.479,66.456,786438.0,61.838,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3.0
130,Mexico,MEX,AMRO,REPORTING,2021-09-24,97523713.0,62911164.0,75.639,48.794,43248659.0,33.544,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,7.0
131,Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-09-14,67963.0,43235.0,59.086,37.588,35957.0,31.261,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,4.0
132,Monaco,MCO,EURO,OWID,2021-09-16,49980.0,26672.0,127.357,67.965,23308.0,59.393,Pfizer BioNTech - Comirnaty,,1.0
133,Mongolia,MNG,WPRO,REPORTING,2021-09-10,4545348.0,2245997.0,138.65,68.511,2112809.0,64.449,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6.0
134,Montenegro,MNE,EURO,OWID,2021-09-26,446806.0,237797.0,71.14,37.862,209009.0,33.278,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4.0
135,Montserrat,MSR,AMRO,REPORTING,2021-09-24,2871.0,1483.0,57.431,29.666,1388.0,27.766,AstraZeneca - Vaxzevria,2021-02-08,1.0
136,Morocco,MAR,EMRO,REPORTING,2021-09-25,40273386.0,21915897.0,109.111,59.376,18357489.0,49.735,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-28,5.0
137,Mozambique,MOZ,AFRO,REPORTING,2021-09-14,3644423.0,1903730.0,11.66,6.091,1740693.0,5.569,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-08,2.0
138,Myanmar,MMR,SEARO,REPORTING,2021-09-18,9001616.0,5530365.0,16.544,10.164,3471251.0,6.38,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2.0
139,Namibia,NAM,AFRO,REPORTING,2021-09-26,279829.0,258344.0,11.013,10.167,173701.0,6.836,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-19,2.0
140,Nauru,NRU,WPRO,REPORTING,2021-08-20,14790.0,7612.0,136.515,70.26,7178.0,66.254,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2.0
141,Nepal,NPL,SEARO,REPORTING,2021-09-20,11804373.0,6215856.0,40.514,21.333,5588517.0,19.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield",2021-01-27,6.0
142,Netherlands,NLD,EURO,OWID,2021-09-26,22272373.0,12116976.0,127.946,69.607,10962160.0,62.973,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
143,New Caledonia,NCL,WPRO,REPORTING,2021-09-11,175794.0,100429.0,61.575,35.177,75365.0,26.398,Pfizer BioNTech - Comirnaty,2021-01-20,1.0
144,New Zealand,NZL,WPRO,REPORTING,2021-09-10,4229686.0,2803535.0,87.712,58.138,1426151.0,29.574,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-19,4.0
145,Nicaragua,NIC,AMRO,REPORTING,2021-09-24,788502.0,502324.0,11.903,7.583,286178.0,4.32,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,SII - Covishield",2021-03-02,3.0
146,Niger,NER,AFRO,REPORTING,2021-09-22,512294.0,405918.0,2.116,1.677,106376.0,0.439,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2.0
147,Nigeria,NGA,AFRO,REPORTING,2021-09-25,6552979.0,4685526.0,3.179,2.273,1867453.0,0.906,SII - Covishield,2021-03-05,1.0
148,Niue,NIU,WPRO,REPORTING,2021-08-02,2352.0,1202.0,145.365,74.289,1150.0,71.075,Pfizer BioNTech - Comirnaty,2021-06-08,1.0
149,North Macedonia,MKD,EURO,OWID,2021-09-25,1495762.0,781627.0,71.795,37.517,714135.0,34.278,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac, Gamaleya - Sputnik V",,5.0
150,Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-09-10,68474.0,35268.0,118.967,61.275,33978.0,59.034,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3.0
151,Norway,NOR,EURO,OWID,2021-09-23,7728221.0,4123472.0,143.98,76.822,3604749.0,67.158,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
152,occupied Palestinian territory,PSE,EMRO,REPORTING,2021-09-06,1206277.0,741385.0,23.646,14.533,464892.0,9.113,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,7.0
153,Oman,OMN,EMRO,REPORTING,2021-09-20,4636486.0,2810262.0,90.794,55.032,1826224.0,35.762,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,5.0
154,Pakistan,PAK,EMRO,REPORTING,2021-09-23,75955215.0,30333179.0,34.386,13.732,25590786.0,11.585,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-03,8.0
155,Palau,PLW,WPRO,REPORTING,2021-09-14,29734.0,17177.0,164.349,94.943,14854.0,82.103,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-03,3.0
156,Panama,PAN,AMRO,REPORTING,2021-09-24,5367816.0,2939999.0,124.406,68.138,2427817.0,56.268,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
157,Papua New Guinea,PNG,WPRO,REPORTING,2021-09-13,164776.0,119996.0,1.842,1.341,45074.0,0.504,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield",2021-03-30,4.0
158,Paraguay,PRY,AMRO,REPORTING,2021-09-24,4488153.0,2621847.0,62.925,36.759,1866306.0,26.166,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,7.0
159,Peru,PER,AMRO,REPORTING,2021-09-24,24652540.0,14929976.0,74.768,45.281,9722564.0,29.487,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,4.0
160,Philippines,PHL,WPRO,REPORTING,2021-09-09,37728114.0,25195827.0,34.429,22.993,16138934.0,14.728,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9.0
161,Pitcairn Islands,PCN,WPRO,REPORTING,2021-07-22,73.0,37.0,146.0,74.0,36.0,72.0,AstraZeneca - Vaxzevria,2021-05-17,1.0
162,Poland,POL,EURO,OWID,2021-09-25,37147012.0,19756349.0,97.863,52.048,19374121.0,51.041,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
163,Portugal,PRT,EURO,OWID,2021-09-26,15944324.0,8930150.0,154.861,86.735,8630748.0,83.827,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
164,Puerto Rico,PRI,AMRO,REPORTING,2021-09-24,4610347.0,2529526.0,161.153,88.419,2211539.0,77.303,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3.0
165,Qatar,QAT,EMRO,REPORTING,2021-09-26,4692503.0,2134729.0,162.875,74.095,1816789.0,63.06,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
166,Republic of Korea,KOR,WPRO,REPORTING,2021-09-13,51832703.0,33130333.0,101.099,64.62,20036176.0,39.08,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-26,5.0
167,Republic of Moldova,MDA,EURO,OWID,2021-09-26,1383749.0,,34.302,,770910.0,19.11,"Janssen - Ad26.COV 2.5, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,5.0
168,Romania,ROU,EURO,OWID,2021-09-25,10043006.0,5453615.0,51.959,28.215,5320352.0,27.525,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
169,Russian Federation,RUS,EURO,OWID,2021-09-26,89301130.0,47594992.0,61.193,32.614,41706138.0,28.579,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2.0
170,Rwanda,RWA,AFRO,REPORTING,2021-09-24,3340448.0,2029038.0,25.791,15.666,1466966.0,11.326,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3.0
171,Saba,XCA,AMRO,REPORTING,2021-09-24,1300.0,,67.253,,1300.0,67.253,,,
172,Saint Helena,SHN,AFRO,OWID,2021-05-05,7892.0,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,,1.0
173,Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-09-24,47098.0,25178.0,88.543,47.334,21920.0,41.209,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3.0
174,Saint Lucia,LCA,AMRO,REPORTING,2021-09-24,74492.0,44292.0,40.567,24.121,30200.0,16.446,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,3.0
175,Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-09-24,33077.0,19984.0,29.815,18.013,13093.0,11.802,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,4.0
176,Samoa,WSM,WPRO,REPORTING,2021-09-10,142216.0,96865.0,71.676,48.82,45351.0,22.857,AstraZeneca - Vaxzevria,2021-04-18,1.0
177,San Marino,SMR,EURO,OWID,2021-09-22,47084.0,24422.0,138.735,71.961,24422.0,71.961,"Pfizer BioNTech - Comirnaty, Gamaleya - Sputnik V",,2.0
178,Sao Tome and Principe,STP,AFRO,REPORTING,2021-09-24,82679.0,60559.0,37.726,27.632,22120.0,10.093,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2.0
179,Saudi Arabia,SAU,EMRO,REPORTING,2021-09-26,41570789.0,23250555.0,119.409,66.785,18320234.0,52.623,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4.0
180,Senegal,SEN,AFRO,REPORTING,2021-09-27,1765380.0,1241276.0,10.543,7.413,827345.0,4.941,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-02-23,2.0
181,Serbia,SRB,EURO,OWID,2021-09-26,6409263.0,3022660.0,92.53,43.638,2884386.0,41.642,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4.0
182,Seychelles,SYC,AFRO,REPORTING,2021-09-16,148402.0,77311.0,150.896,78.61,71091.0,72.286,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-10,2.0
183,Sierra Leone,SLE,AFRO,REPORTING,2021-09-27,232375.0,189641.0,2.913,2.377,42734.0,0.536,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2.0
184,Singapore,SGP,WPRO,REPORTING,2021-09-10,8846497.0,4551854.0,151.213,77.805,4411550.0,75.407,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3.0
185,Sint Eustatius,XBA,AMRO,REPORTING,2021-09-24,2800.0,1449.0,89.2,46.161,1351.0,43.039,,,
186,Sint Maarten,SXM,AMRO,REPORTING,2021-09-24,49310.0,25721.0,114.99,59.981,23589.0,55.009,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3.0
187,Slovakia,SVK,EURO,OWID,2021-09-24,4673547.0,2432865.0,85.629,44.575,2240682.0,41.054,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
188,Slovenia,SVN,EURO,OWID,2021-09-26,2104272.0,1115416.0,100.401,53.22,988856.0,47.181,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
189,Solomon Islands,SLB,WPRO,REPORTING,2021-09-10,97744.0,74573.0,14.23,10.857,23171.0,3.373,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-23,3.0
190,Somalia,SOM,EMRO,REPORTING,2021-09-26,464359.0,250415.0,2.922,1.576,213944.0,1.346,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-03-16,4.0
191,South Africa,ZAF,AFRO,REPORTING,2021-09-26,16827790.0,8436170.0,28.373,14.224,8391620.0,14.149,Janssen - Ad26.COV 2.5,2021-02-17,1.0
192,South Sudan,SSD,AFRO,REPORTING,2021-09-23,103751.0,74198.0,0.927,0.663,29553.0,0.264,SII - Covishield,2021-04-06,1.0
193,Spain,ESP,EURO,OWID,2021-09-23,69740837.0,37571186.0,147.342,79.377,36335711.0,76.767,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
194,Sri Lanka,LKA,SEARO,REPORTING,2021-09-21,25110877.0,13906987.0,117.268,64.946,11203890.0,52.322,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-29,6.0
195,Sudan,SDN,EMRO,REPORTING,2021-09-26,1650828.0,472484.0,3.765,1.078,731845.0,1.669,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,5.0
196,Suriname,SUR,AMRO,REPORTING,2021-09-24,387552.0,222408.0,66.064,37.913,165144.0,28.151,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5.0
197,Sweden,SWE,EURO,OWID,2021-09-24,13607052.0,7123838.0,131.754,68.979,6481560.0,62.76,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
198,Switzerland,CHE,EURO,OWID,2021-09-23,10266591.0,5447361.0,118.626,62.942,4695201.0,54.251,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
199,Syrian Arab Republic,SYR,EMRO,REPORTING,2021-09-13,533949.0,285087.0,3.051,1.629,248862.0,1.422,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-04-01,5.0
200,Tajikistan,TJK,EURO,OWID,2021-09-20,3872421.0,2307140.0,40.601,24.19,1565281.0,16.412,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Sinovac - CoronaVac",,3.0
201,Thailand,THA,SEARO,REPORTING,2021-09-19,43864450.0,28893133.0,62.843,41.394,14971317.0,21.449,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-28,7.0
202,The United Kingdom,GBR,EURO,REPORTING,2021-09-21,93059140.0,48593019.0,137.1,71.397,44352641.0,65.334,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
203,Timor-Leste,TLS,SEARO,REPORTING,2021-09-21,675891.0,424568.0,51.264,32.202,251323.0,19.062,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-04-07,3.0
204,Togo,TGO,AFRO,REPORTING,2021-09-24,997632.0,595491.0,12.051,7.193,402141.0,4.858,SII - Covishield,2021-03-10,1.0
205,Tokelau,TKL,WPRO,REPORTING,2021-08-03,968.0,968.0,71.704,71.704,,,Pfizer BioNTech - Comirnaty,2021-07-20,1.0
206,Tonga,TON,WPRO,REPORTING,2021-09-13,73603.0,46126.0,69.637,43.641,27477.0,25.996,AstraZeneca - Vaxzevria,2021-04-14,1.0
207,Trinidad and Tobago,TTO,AMRO,REPORTING,2021-09-24,1037412.0,578632.0,74.128,41.346,473097.0,33.805,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5.0
208,Tunisia,TUN,EMRO,REPORTING,2021-09-18,7132375.0,4656510.0,60.349,39.4,3209273.0,27.154,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,7.0
209,Turkey,TUR,EURO,OWID,2021-09-26,107840404.0,53443024.0,127.865,63.367,43560247.0,51.649,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2.0
210,Turkmenistan,TKM,EURO,OWID,2021-04-04,41993.0,32240.0,0.696,0.535,9753.0,0.162,"SRCVB - EpiVacCorona, AstraZeneca - AZD1222, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4.0
211,Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-09-24,52374.0,27446.0,135.27,70.887,24928.0,64.383,Pfizer BioNTech - Comirnaty,2021-01-11,1.0
212,Tuvalu,TUV,WPRO,REPORTING,2021-09-10,10861.0,6209.0,92.105,52.654,4652.0,39.45,AstraZeneca - Vaxzevria,2021-04-13,1.0
213,Uganda,UGA,AFRO,REPORTING,2021-09-17,1643067.0,1227581.0,3.592,2.684,415486.0,0.908,SII - Covishield,2021-03-10,1.0
214,Ukraine,UKR,EURO,OWID,2021-09-26,12240363.0,6781450.0,27.988,15.506,5458913.0,12.482,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,4.0
215,United Arab Emirates,ARE,EMRO,REPORTING,2021-09-26,19856161.0,,200.762,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5.0
216,United Republic of Tanzania,TZA,AFRO,REPORTING,2021-09-24,389807.0,0.0,0.653,0.0,366485.0,0.614,Janssen - Ad26.COV 2.5,,1.0
217,United States of America,USA,AMRO,REPORTING,2021-09-24,389142237.0,221165913.0,117.565,66.817,182910008.0,55.259,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3.0
218,Uruguay,URY,AMRO,REPORTING,2021-09-24,6132570.0,2725243.0,176.541,78.453,2561880.0,73.75,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3.0
219,Uzbekistan,UZB,EURO,OWID,2021-09-21,18526941.0,,55.355,,3700000.0,11.055,"AstraZeneca - AZD1222, Gamaleya - Sputnik V, ZF2001",,3.0
220,Vanuatu,VUT,WPRO,REPORTING,2021-09-12,57171.0,42840.0,18.614,13.948,14345.0,4.67,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-06-02,2.0
221,Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-09-24,11094206.0,6822809.0,39.015,23.994,4261397.0,14.986,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-22,3.0
222,Viet Nam,VNM,WPRO,REPORTING,2021-09-10,25926688.0,21459102.0,26.636,22.046,4467586.0,4.59,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-03-08,5.0
223,Wallis and Futuna,WLF,WPRO,REPORTING,2021-09-09,9902.0,4952.0,88.049,44.033,4950.0,44.016,Moderna - mRNA-1273,2021-03-19,1.0
224,Yemen,YEM,EMRO,REPORTING,2021-09-12,322934.0,308025.0,1.083,1.033,14909.0,0.05,"Janssen - Ad26.COV 2.5,SII - Covishield",2021-04-20,2.0
225,Zambia,ZMB,AFRO,REPORTING,2021-09-20,697261.0,313240.0,3.793,1.704,339852.0,1.849,SII - Covishield,2021-04-14,1.0
226,Zimbabwe,ZWE,AFRO,REPORTING,2021-09-24,5165977.0,3008335.0,34.757,20.241,2157642.0,14.517,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3.0
