,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
16,Bangladesh,BGD,SEARO,REPORTING,2021-09-21,38430617.0,23167924.0,23.335,14.068,15262693.0,9.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8.0
17,Barbados,BRB,AMRO,REPORTING,2021-09-24,228890.0,128969.0,79.649,44.878,99921.0,34.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-10,4.0
18,Belarus,BLR,EURO,OWID,2021-09-19,3389520.0,1877399.0,35.871,19.868,1512121.0,16.002,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2.0
19,Belgium,BEL,EURO,OWID,2021-09-23,16530367.0,8552077.0,143.462,74.221,8355805.0,72.518,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
20,Belize,BLZ,AMRO,REPORTING,2021-09-24,293681.0,194279.0,73.858,48.859,107915.0,27.14,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5.0
21,Benin,BEN,AFRO,REPORTING,2021-09-27,226269.0,62089.0,1.866,0.512,164180.0,1.354,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2.0
22,Bermuda,BMU,AMRO,REPORTING,2021-09-24,86676.0,43855.0,139.187,70.424,42821.0,68.763,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-11,2.0
23,Bhutan,BTN,SEARO,REPORTING,2021-09-19,1068414.0,574135.0,138.466,74.408,494279.0,64.058,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,5.0
24,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-09-24,6601529.0,4235363.0,56.554,36.283,3219232.0,27.578,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,5.0
25,Bonaire,XAA,AMRO,REPORTING,2021-09-24,29334.0,15615.0,140.253,74.659,13719.0,65.594,,,
26,"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391.0,5726.0,28.441,22.034,2965.0,11.41,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2.0
27,Bosnia and Herzegovina,BIH,EURO,OWID,2021-09-07,1060145.0,634063.0,32.313,19.326,426082.0,12.987,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.0
28,Botswana,BWA,AFRO,REPORTING,2021-09-20,379684.0,408579.0,16.146,17.374,336014.0,14.289,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,4.0
29,Brazil,BRA,AMRO,REPORTING,2021-09-24,216763268.0,141640310.0,101.978,66.636,79668443.0,37.481,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5.0
30,British Virgin Islands,VGB,AMRO,REPORTING,2021-09-24,32398.0,17439.0,107.147,57.674,14959.0,49.473,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",2021-02-11,2.0
31,Brunei Darussalam,BRN,WPRO,REPORTING,2021-09-10,370287.0,235380.0,84.641,53.804,134907.0,30.837,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5.0
32,Bulgaria,BGR,EURO,OWID,2021-09-26,2508560.0,,36.087,,1309135.0,18.832,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
33,Burkina Faso,BFA,AFRO,REPORTING,2021-09-22,254545.0,234490.0,1.218,1.122,168141.0,0.804,SII - Covishield,2021-06-02,1.0
34,Cabo Verde,CPV,AFRO,REPORTING,2021-09-26,414300.0,284115.0,74.516,51.101,130185.0,23.415,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2.0
35,Cambodia,KHM,WPRO,REPORTING,2021-09-10,20554497.0,11406989.0,122.941,68.228,9350408.0,55.927,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-10,5.0
36,Cameroon,CMR,AFRO,REPORTING,2021-09-27,461201.0,377791.0,1.737,1.423,83410.0,0.314,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-12,2.0
37,Canada,CAN,AMRO,REPORTING,2021-09-24,55577143.0,28928703.0,147.255,76.648,26648440.0,70.607,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3.0
38,Cayman Islands,CYM,AMRO,REPORTING,2021-09-24,105823.0,54852.0,161.021,83.463,50962.0,77.544,Pfizer BioNTech - Comirnaty,2021-01-15,1.0
39,Central African Republic,CAF,AFRO,REPORTING,2021-09-23,187160.0,82662.0,3.875,1.712,104498.0,2.164,"Bharat - Covaxin,SII - Covishield",2021-03-19,2.0
40,Chad,TCD,AFRO,REPORTING,2021-09-26,142548.0,113135.0,0.868,0.689,29413.0,0.179,Beijing CNBG - BBIBP-CorV,2021-06-04,1.0
41,Chile,CHL,AMRO,REPORTING,2021-09-24,31345528.0,14909861.0,163.974,77.996,14082221.0,73.666,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,4.0
42,China,CHN,WPRO,REPORTING,2021-09-10,2143864359.0,1099627432.0,145.714,74.739,973716927.0,66.181,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,6.0
43,Colombia,COL,AMRO,REPORTING,2021-09-24,39057913.0,25518294.0,76.76,50.151,16353229.0,32.139,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5.0
44,Comoros,COM,AFRO,REPORTING,2021-09-22,336863.0,174765.0,38.738,20.097,162098.0,18.641,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3.0
45,Congo,COG,AFRO,REPORTING,2021-09-27,228760.0,120077.0,4.146,2.176,108683.0,1.97,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-03-23,4.0
46,Cook Islands,COK,WPRO,REPORTING,2021-08-03,21761.0,11416.0,123.895,64.997,10345.0,58.899,Pfizer BioNTech - Comirnaty,2021-05-17,1.0
47,Costa Rica,CRI,AMRO,REPORTING,2021-09-24,5278479.0,3274512.0,103.619,64.28,2003967.0,39.339,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2020-12-24,2.0
48,Côte d’Ivoire,CIV,AFRO,REPORTING,2021-09-22,1836904.0,1462682.0,6.964,5.545,374222.0,1.419,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-03-01,3.0
49,Croatia,HRV,EURO,OWID,2021-09-25,3407385.0,1805370.0,83.964,44.487,1693075.0,41.72,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
50,Cuba,CUB,AMRO,REPORTING,2021-09-24,19380806.0,8715714.0,171.109,76.949,5876682.0,51.884,"Abdala, Soberana02",,2.0
51,Curaçao,CUW,AMRO,REPORTING,2021-09-24,186229.0,97531.0,113.49,59.436,88698.0,54.053,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-24,3.0
52,Cyprus,CYP,EURO,OWID,2021-09-23,1146345.0,592694.0,129.092,66.744,547741.0,61.682,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
53,Czechia,CZE,EURO,OWID,2021-09-26,11776675.0,6069823.0,110.125,56.759,5938389.0,55.53,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
54,Democratic Republic of the Congo,COD,AFRO,REPORTING,2021-09-24,134945.0,89522.0,0.151,0.1,40264.0,0.045,SII - Covishield,2021-04-19,1.0
55,Denmark,DNK,EURO,OWID,2021-09-23,8754137.0,4448856.0,150.343,76.405,4351629.0,74.735,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,3.0
56,Djibouti,DJI,EMRO,REPORTING,2021-09-18,66010.0,40689.0,6.681,4.118,26087.0,2.64,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,6.0
57,Dominica,DMA,AMRO,REPORTING,2021-09-24,44624.0,23615.0,61.986,32.803,21009.0,29.183,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,4.0
58,Dominican Republic,DOM,AMRO,REPORTING,2021-09-24,11774063.0,6024702.0,108.538,55.538,4860422.0,44.805,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3.0
59,Ecuador,ECU,AMRO,REPORTING,2021-09-24,20532260.0,11050419.0,116.376,62.633,9833158.0,55.734,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,4.0
60,Egypt,EGY,EMRO,REPORTING,2021-09-23,15057720.0,9593247.0,14.714,9.374,4805587.0,4.696,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,6.0
61,El Salvador,SLV,AMRO,REPORTING,2021-09-24,7297994.0,4007200.0,112.516,61.78,3290794.0,50.735,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,5.0
62,Equatorial Guinea,GNQ,AFRO,REPORTING,2021-09-23,387510.0,223122.0,27.62,15.903,164388.0,11.717,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2.0
63,Estonia,EST,EURO,OWID,2021-09-25,1357907.0,754795.0,102.177,56.795,603112.0,45.382,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
64,Eswatini,SWZ,AFRO,REPORTING,2021-09-24,240002.0,208925.0,20.687,18.008,201803.0,17.394,SII - Covishield,2021-03-19,1.0
